Nr;X;Y;Z
10001;5787483.773;7500602.207;114.319
10002;5787484.049;7500572.996;114.447
10003;5787486.154;7500524.107;114.548
10004;5787481.544;7500495.417;114.509
10005;5787408.78;7500499.203;114.438
10006;5787406.091;7500596.734;114.328
10007;5787430.426;7500568.99;114.297
10008;5787432.68;7500526.438;114.335
10009;5787498.642;7500518.57;114.643
10010;5787533.409;7500574.618;114.327
10011;5787598.216;7500518.158;114.664
10012;5787564.487;7500547.932;114.361
10013;5787407.47;7500421.436;114.43
10014;5787479.774;7500423.583;114.765
10015;5787530.65;7500451.341;114.911
10016;5787577.44;7500474.544;114.715
10017;5787593.734;7500448.37;114.819
10018;5787665.751;7500445.259;114.689
10019;5787663.275;7500504.91;114.599
10020;5787690.129;7500510.646;114.371
